oid,TableID,ParentTableID,ChildTableID,Name,UserName,ParentTableName,ParentTableUserName,ChildTableName,ChildTableUsername,Description,Namespace,DateCreated,DateModified,IsDeleted,Author
3d22387b-24bf-44a9-a6cd-83a7106ca08f,3d22387b-24bf-44a9-a6cd-83a7106ca08f,00000000-0000-0000-0000-000000000000,,CompartmentRelevantCargos,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
03958ef9-e5a0-439f-83f4-83b15cc67308,03958ef9-e5a0-439f-83f4-83b15cc67308,00000000-0000-0000-0000-000000000000,,SMBracketByPlane3SCol,,,,,,,UDP,Nov  5 2013  8:16PM,Nov  5 2013  8:16PM,False,INGRNET\sp3dadminuser1
1d8d094b-b120-4207-9595-83d054dcf4a3,1d8d094b-b120-4207-9595-83d054dcf4a3,00000000-0000-0000-0000-000000000000,,Anvil_FIG86_Finish,,,,,,,UDP,Dec 18 2008  3:38PM,Jul 23 2013  7:17PM,False,INGRNET\sp3dadminuser1
319651cf-f81b-4fc4-883f-83d7ea85bfd4,319651cf-f81b-4fc4-883f-83d7ea85bfd4,00000000-0000-0000-0000-000000000000,,StrDetSketchFeatureMsgs,,,,,,,STRUCT,,,False,
cae977e2-a136-4897-9189-83e2b55e6321,cae977e2-a136-4897-9189-83e2b55e6321,80d42ae5-6a2b-458f-86f1-c803a87e677c,2d987274-81c0-4430-b33d-78f7797a60fc,EquipmentTypes2,,EquipmentTypes1,,EquipmentTypes3,,,CMNSCH,,,False,
0e24677b-8fc9-47c5-8187-844ea0e19450,0e24677b-8fc9-47c5-8187-844ea0e19450,00000000-0000-0000-0000-000000000000,,SMTemplateMarkingProfileBCL,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
f5546109-5c46-498e-8acc-8455d0a524e5,f5546109-5c46-498e-8acc-8455d0a524e5,00000000-0000-0000-0000-000000000000,,ShapeAtEdgeOutsideCol,,,,,,,UDP,Nov  5 2013  8:16PM,Nov  5 2013  8:16PM,False,INGRNET\sp3dadminuser1
28b124dc-0ec7-4032-a810-84a71545f44e,28b124dc-0ec7-4032-a810-84a71545f44e,00000000-0000-0000-0000-000000000000,,ProfilePartCategory,,,,,,,UDP,Nov  5 2013  8:16PM,Nov  5 2013  8:16PM,False,INGRNET\sp3dadminuser1
9e68bb60-707c-44d0-8ab9-84e05092f67a,9e68bb60-707c-44d0-8ab9-84e05092f67a,00000000-0000-0000-0000-000000000000,,PipeBendingMachineType,,,,,,,REFDAT,,,False,
641b3f63-59b1-4e54-a175-85020b090ca6,641b3f63-59b1-4e54-a175-85020b090ca6,00000000-0000-0000-0000-000000000000,,Electrical insulation temperature rating,,,,,,,EF,,,False,
daad954b-5856-4701-a823-850e82384b18,daad954b-5856-4701-a823-850e82384b18,00000000-0000-0000-0000-000000000000,,RefPlaneViewDirections,,,,,,,REFDAT,,,False,
32fc0cae-c258-46ae-afd8-8518a20820cf,32fc0cae-c258-46ae-afd8-8518a20820cf,00000000-0000-0000-0000-000000000000,,StructWallReferenceAttribute,,,,,,,UDP,Dec 18 2008  3:22PM,Jul 23 2013  6:34PM,False,INGRNET\sp3dadminuser1
120361e9-ce24-49db-adba-8521bf3b0889,120361e9-ce24-49db-adba-8521bf3b0889,00000000-0000-0000-0000-000000000000,,SpecOrCatalogVerificationOpt,,,,,,,REFDAT,,,False,
242268b0-95b3-4af2-86c7-855ed7653982,242268b0-95b3-4af2-86c7-855ed7653982,00000000-0000-0000-0000-000000000000,,SMMemberMarkingDirectionMark,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
5d6a8c7c-d4f1-45f3-b951-856093bd0da1,5d6a8c7c-d4f1-45f3-b951-856093bd0da1,00000000-0000-0000-0000-000000000000,,PartDataBasis,,,,,,,REFDAT,,,False,
18e996a5-b762-4aad-b175-85676a8e0276,18e996a5-b762-4aad-b175-85676a8e0276,00000000-0000-0000-0000-000000000000,,BendToBendTangentBasis,,,,,,,REFDAT,,,False,
1ee3dc7a-6e14-49d5-b860-856d9726d957,1ee3dc7a-6e14-49d5-b860-856d9726d957,00000000-0000-0000-0000-000000000000,,StressLevelCol,,,,,,,UDP,Nov  5 2013  8:16PM,Nov  5 2013  8:16PM,False,INGRNET\sp3dadminuser1
ac8b9dba-3e6b-4759-957b-859635ebe48c,ac8b9dba-3e6b-4759-957b-859635ebe48c,00000000-0000-0000-0000-000000000000,,SMPlateMarkingPlateLocation2,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
063d7086-b5a4-4f4e-99d2-859782ecdb93,063d7086-b5a4-4f4e-99d2-859782ecdb93,00000000-0000-0000-0000-000000000000,7dbff01c-2f85-4fbe-a4eb-d1f1e5d312ac,HVACLiningRequirements,,,,HVACLiningMaterial,,,REFDAT,,,False,
46029c51-2f8f-47bf-8bcf-85a28358abc8,46029c51-2f8f-47bf-8bcf-85a28358abc8,00000000-0000-0000-0000-000000000000,,BranchReinforcementType,,,,,,,REFDAT,,,False,
3ed493a6-9765-448b-8643-85ca394fdc84,3ed493a6-9765-448b-8643-85ca394fdc84,00000000-0000-0000-0000-000000000000,,SMProfileMarkingFittingProfile2,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
841de876-6620-4ea6-88d1-85eb214fad82,841de876-6620-4ea6-88d1-85eb214fad82,00000000-0000-0000-0000-000000000000,,PurchaseLengthBasisOption,,,,,,,REFDAT,,,False,
1fa7b648-c341-444b-8e6c-85f1fc015eb3,1fa7b648-c341-444b-8e6c-85f1fc015eb3,00000000-0000-0000-0000-000000000000,,HngSupPortType,,,,,,,REFDAT,,,False,
85248c6e-c582-4a5f-af69-86979620181d,85248c6e-c582-4a5f-af69-86979620181d,00000000-0000-0000-0000-000000000000,,CrossInsertPlate_CategoryVal,,,,,,,UDP,Nov  5 2013  8:18PM,Nov  5 2013  8:18PM,False,INGRNET\sp3dadminuser1
4fd147bb-e4fd-4ec5-9cef-86a57d4fface,4fd147bb-e4fd-4ec5-9cef-86a57d4fface,00000000-0000-0000-0000-000000000000,,StrDetFeature2DMsgs,,,,,,,STRUCT,,,False,
844677e8-0b68-4325-afca-86a741f8a825,844677e8-0b68-4325-afca-86a741f8a825,00000000-0000-0000-0000-000000000000,,ProjectType,,,,,,,CORE,,,False,
42d225ca-a96b-4806-9c5c-86d2b3b3afee,42d225ca-a96b-4806-9c5c-86d2b3b3afee,967c6656-559a-40ab-96db-f87db7af0718,,WeldingProcedureSpecification,,WeldingProcedurePractice,,,,,REFDAT,,,False,
670f7659-c8ec-4aa4-814b-86f63c7fb36a,670f7659-c8ec-4aa4-814b-86f63c7fb36a,00000000-0000-0000-0000-000000000000,,SupplementaryWasherRequirement,,,,,,,REFDAT,,,False,
52463077-a6a1-4991-814d-86f80d4b241e,52463077-a6a1-4991-814d-86f80d4b241e,00000000-0000-0000-0000-000000000000,,SMTemplateMarkingTubeFitMark,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
a835a254-faf2-4be5-a5a0-87059916528c,a835a254-faf2-4be5-a5a0-87059916528c,00000000-0000-0000-0000-000000000000,,DocumentStyles,,,,,,,DRAWNG,,,False,
a8f2cc77-3f1c-43aa-9106-870e20dd4604,a8f2cc77-3f1c-43aa-9106-870e20dd4604,00000000-0000-0000-0000-000000000000,,Process equipment applicable standards,,,,,,,EF,,,False,
38198073-d12c-4031-b56c-871484e20c42,38198073-d12c-4031-b56c-871484e20c42,00000000-0000-0000-0000-000000000000,,CommonSolidsDBIntegrityMessages,,,,,,,EQUIP,,,False,
ac05d1eb-3a46-47a1-8723-874adf6fc021,ac05d1eb-3a46-47a1-8723-874adf6fc021,00000000-0000-0000-0000-000000000000,,MICode_ConnectionSize,,,,,,,UDP,Jul 23 2013  7:17PM,Jul 23 2013  7:17PM,False,INGRNET\sp3dadminuser1
59f06ef4-4ba6-4c68-b877-876be234251d,59f06ef4-4ba6-4c68-b877-876be234251d,f85e1226-51e5-413e-97b7-1b507a8d578b,ebedce7b-b6a4-47b6-ab91-36906f6cf80e,ValveManufacturer,,ValveManufacturerIndPractice,,ValveModelNumber,,,REFDAT,,,False,
95b7231f-9e26-4289-90fe-877d5b95d2fe,95b7231f-9e26-4289-90fe-877d5b95d2fe,635985d0-12ab-4b0a-946d-47232137fdb0,,ConstructionType,,ConstructionRequirement,,,,,CMNSCH,,,False,
ed901d53-bbef-4d30-9baf-879ea5653084,ed901d53-bbef-4d30-9baf-879ea5653084,00000000-0000-0000-0000-000000000000,,StructTopologyFaceNames,,,,,,,CMNSCH,,,False,
f4610ae0-c066-4e7f-bdc1-87b4fa78e72b,f4610ae0-c066-4e7f-bdc1-87b4fa78e72b,00000000-0000-0000-0000-000000000000,b6ac33b5-de85-4cca-a598-d9c4950cc15b,RatingPractice,,,,PressureRating,,,REFDAT,,,False,
